"""No (Text)""","""Marga (Text)""","""Marga (Link)""","""Angkola (Text)""","""Karo (Text)""","""Mandailing (Text)""","""Pakpak (Text)""","""Simalungun (Text)""","""Toba (Text)""","""Keterangan (Text)""","""Description"""
"""320""","""Sormin""","""https://id.wikipedia.org/wiki/Sormin""","""T""","""T""","""T""","""T""","""T""","""Y""","""Submarga Siregar""","""Sormin adalah marga Batak yang juga merupakan nama lain dari marga Siregar Silo yang merantau serta menetap di Pangaribuan, Tapanuli Utara dan disekitarnya yang kemudian menetapkan marganya menjadi Sormin. Sormin dan Silo adalah satu kesatuan marga yang merupakan sub-marga dari marga Siregar, yang mana leluhurnya adalah Jambe Ulubalang dan Raja Naubanon, yang merupakan keturunan dari Toga Siregar."""
"""321""","""Sugihen""","""https://id.wikipedia.org/wiki/Sugihen""","""T""","""Y""","""T""","""T""","""T""","""T""","""Submarga Ginting""","""Sugihen  adalah salah satu marga Batak yang terdapat pada suku Karo dan Alas. Dalam adat suku Karo, marga Sugihen merupakan salah satu cabang (sub-) marga Ginting, yaitu salah satu dari lima induk marga pada Suku Karo.[1]"""
"""322""","""Suka""","""https://id.wikipedia.org/w/index.php?title=Suka_(marga)&action=edit&redlink=1""","""T""","""Y""","""T""","""T""","""T""","""T""","""Submarga Ginting""","""Failed to fetch page"""
"""324""","""Sumbayak""","""https://id.wikipedia.org/wiki/Saragih""","""T""","""T""","""T""","""T""","""Y""","""T""","""Dalam subetnis Simalungun, Sumbayak merupakan submarga Saragih""","""Saragih (Surat Batak Simalungun:  ᯙᯓᯏᯫᯱ) adalah salah satu dari empat kelompok marga utama Batak Simalungun. Leluhur awal marga Saragih menempati wilayah Partuanan Raya dan Partuanan Silampuyang (sekarang merupakan bagian dari Kota Pematangsiantar dan Kecamatan Siantar, Simalungun).[1] Tersebar ke Taneh Karo sebagai Ginting Seragih"""
"""324""","""Surbakti""","""https://id.wikipedia.org/wiki/Surbakti""","""T""","""Y""","""T""","""T""","""T""","""T""","""Submarga Karo-karo""","""Surbakti (Surat Karo: ᯘᯒᯬ᯳ᯆᯂ᯳ᯗᯪ; disebut juga sebagai Karokaro Surbakti) adalah salah satu marga Suku Karo yang termasuk ke dalam induk marga Karokaro.Wilayah ulayat marga Surbakti meliputi wilayah Surbakti, Torong, Gajah, Jumaraja, Pancurbatu, Kutalimbaru, hingga ke Langkat."""
"""325""","""Tamba""","""https://id.wikipedia.org/wiki/Tamba""","""T""","""T""","""T""","""T""","""T""","""Y""","""""","""No description found"""
"""326""","""Tambak""","""https://id.wikipedia.org/wiki/Tambak_(marga)""","""T""","""Y""","""T""","""T""","""Y""","""T""","""Dalam subetnis Karo adalah submarga Tarigan  Dalam subetnis Simalungun adalah submarga Purba""","""No description found"""
"""327""","""Tambun""","""https://id.wikipedia.org/wiki/Tambun""","""T""","""Y""","""T""","""T""","""T""","""Y""","""Submarga Tarigan""","""No description found"""
"""328""","""Tambun Saribu""","""https://id.wikipedia.org/wiki/Tambun_Saribu""","""T""","""T""","""T""","""T""","""Y""","""T""","""Submarga Purba""","""No description found"""
"""329""","""Tambunan""","""https://id.wikipedia.org/wiki/Tambunan""","""T""","""T""","""T""","""T""","""T""","""Y""","""""","""Tambun atau Tambunan (Surat Batak: ᯖᯔ᯲ᯅᯮᯉᯉ᯲; ᯖᯔ᯲ᯅᯉᯮ᯲) adalah salah satu marga Batak Toba yang berasal dari daerah Balige, Toba. Leluhur marga Tambunan adalah Raja Tambun, anak bungsu dari Raja Silahisabungan, yang berasal dari Silalahi Nabolak, dengan istrinya yaitu Si Boru Similingiling, putri dari Raja Mangarerak."""
"""330""","""Tampubolon""","""https://id.wikipedia.org/wiki/Tampubolon""","""T""","""T""","""T""","""T""","""T""","""Y""","""""","""Tampubolon (Surat Batak: ᯖᯔ᯲ᯇᯮᯅᯬᯞᯉᯬ᯲) adalah salah satu marga Batak Toba. Leluhur marga Tampubolon adalah Raja Sapala Tua Tampuk Nabolon, anak tunggal dari Tuan Sihubil yang berasal dari daerah Balige, Toba."""
"""331""","""Tampune""","""https://id.wikipedia.org/w/index.php?title=Tampune&action=edit&redlink=1""","""T""","""Y""","""T""","""T""","""T""","""T""","""Submarga Ginting""","""Failed to fetch page"""
"""332""","""Tanjung""","""https://id.wikipedia.org/wiki/Tanjung_(marga)""","""Y""","""T""","""Y""","""T""","""T""","""Y""","""""","""Tanjung (Surat Batak: ᯖᯉ᯲ᯐᯮᯰ) adalah salah satu marga Batak yang berbudaya Angkola, Mandailing dan Toba."""
"""333""","""Tarigan""","""https://id.wikipedia.org/wiki/Tarigan""","""T""","""Y""","""T""","""T""","""Y""","""T""","""Dalam subetnis Simalungun adalah submarga Purba""","""Tarigan (Surat Batak Karo: ᯗᯒᯪᯎᯉ᯳ atau ᯗᯒᯫᯎᯉ᯳) adalah salah satu dari lima induk marga suku Karo yang disebut Merga Silima.[1]"""
"""334""","""Tarihoran""","""https://id.wikipedia.org/wiki/Tarihoran""","""T""","""T""","""T""","""T""","""T""","""Y""","""""","""Tarihoran (Surat Batak: ᯖᯒᯪᯂᯬᯒᯉ᯲) adalah salah satu marga Batak Toba yang termasuk ke dalam kelompok marga keturunan Si Raja Borbor."""
"""335""","""Tegur""","""https://id.wikipedia.org/w/index.php?title=Tegur&action=edit&redlink=1""","""T""","""Y""","""T""","""T""","""Y""","""T""","""Dalam subetnis Karo adalah submarga Tarigan  Dalam sub-etnis Simalungun adalah submarga Purba""","""Failed to fetch page"""
"""336""","""Tekang""","""https://id.wikipedia.org/wiki/Tekang""","""T""","""Y""","""T""","""T""","""T""","""T""","""Submarga Sembiring""","""Tekang adalah salah satu cabang (sub-) marga Sembiring, yaitu salah satu dari lima induk marga pada Suku Karo."""
"""337""","""Tendang""","""https://id.wikipedia.org/w/index.php?title=Tendang&action=edit&redlink=1""","""T""","""Y""","""T""","""T""","""T""","""T""","""Submarga Tarigan""","""Failed to fetch page"""
"""338""","""Tinambunan""","""https://id.wikipedia.org/wiki/Tinambunan""","""T""","""T""","""T""","""Y""","""T""","""Y""","""""","""Tinambunan (Surat Batak: ᯖᯪᯉᯔ᯲ᯅᯮᯉᯉ᯲; ᯗᯪᯉᯔ᯲ᯅᯮᯉᯨᯉ᯲) adalah salah satu marga Batak Dairi yang berasal dari Tanoh Kalasan yang termasuk ke dalam kelompok marga Si Onom Hudon (bahasa Indonesia: Si enam periuk).[1] Marga-marga Batak di Kalasan mewarisi dua ciri kebudayaan Batak, yakni Batak Toba dan Batak Dairi."""
"""339""","""Tinendung""","""https://id.wikipedia.org/wiki/Tinendung""","""T""","""T""","""T""","""Y""","""T""","""T""","""""","""Tinendung adalah salah satu marga Pakpak yang berasal dari suak Simsim. Marga Tinendung berkerabat dengan marga Padang Batanghari dan Sitakar."""
"""340""","""Togatorop""","""https://id.wikipedia.org/wiki/Togatorop""","""T""","""T""","""T""","""T""","""T""","""Y""","""Submarga Simatupang""","""Togatorop (Surat Batak: ᯖᯬᯎᯖᯬᯒᯇᯬ᯲) adalah salah satu marga Batak Toba yang berasal dari Muara, Tapanuli Utara. Togatorop merupakan sub-marga dari marga Simatupang yang mana leluhur marga Togatorop adalah anak pertama dari Toga Simatupang."""
"""341""","""Tomog""","""https://id.wikipedia.org/w/index.php?title=Tomog&action=edit&redlink=1""","""T""","""T""","""T""","""T""","""Y""","""T""","""Submarga Damanik""","""Failed to fetch page"""
"""342""","""Tondang""","""https://id.wikipedia.org/wiki/Tondang""","""T""","""T""","""T""","""T""","""Y""","""T""","""Submarga Purba""","""No description found"""
"""343""","""Torbandolok""","""https://id.wikipedia.org/wiki/Torbandolok""","""T""","""T""","""T""","""T""","""T""","""Y""","""Submarga Sihotang""","""Sihotang (Surat Batak: ᯘᯪᯂᯬᯖᯰ ) adalah salah satu marga Batak Toba yang merupakan keturunan dari Sigodang Ulu, anak kedua dari Siraja Oloan."""
"""344""","""Torong""","""https://id.wikipedia.org/wiki/Torong""","""T""","""Y""","""T""","""T""","""T""","""T""","""Submarga Karo-karo""","""Torong adalah salah satu cabang (sub-) marga Karo-Karo, yaitu salah satu dari lima induk marga pada Suku Karo. Sub-Marga Ini Juga Pecahan Dari Marga Surbakti"""
"""345""","""Tua""","""https://id.wikipedia.org/w/index.php?title=Tua&action=edit&redlink=1""","""T""","""Y""","""T""","""T""","""Y""","""T""","""Dalam subetnis Karo adalah submarga Tarigan  Dalam subetnis Simalungun adalah submarga Purba""","""Failed to fetch page"""
"""346""","""Tumanggor""","""https://id.wikipedia.org/wiki/Tumanggor""","""T""","""T""","""T""","""Y""","""T""","""Y""","""Bagian dari kelompok marga Si Onom Hudon, keturunan Tuan Nahoda Raja""","""Tumanggor (Surat Batak Toba : ᯖᯮᯔᯰᯎᯒᯬ᯲) adalah salah satu marga Batak yang umumnya mewarisi dua ciri kebudayaan, yakni Batak Toba dan Batak Dairi. Marga Tumanggor termasuk ke dalam kelompok marga Si Onom Hudon (bahasa Indonesia: Si enam periuk). Marga Tumanggor berasal dari Sionom Hudon Tonga, Parlilitan, Humbang Hasundutan yang merupakan suatu daerah dalam wilayah yang bernama Dairi Kalasan. Marga Tumanggor pada umumnya menyebutkan identitasnya dengan Batak Dairi/Kalasan bukan Batak Pakpak. Marga Tumanggor yang merantau ke Pakpak dan Aceh pada umumnya  menyandang marga Tumangger dan menyebutkan identitasnya dengan Batak Pakpak karena secara turun temurun telah bergernerasi dan saling kawin mengawini dengan marga-marga Batak Pakpak."""
"""347""","""Turnip""","""https://id.wikipedia.org/wiki/Turnip_(marga)""","""T""","""T""","""T""","""T""","""Y""","""Y""","""Dalam subetnis Simalungun adalah submarga Saragih""","""Turnip (Surat Batak: ᯖᯒᯮ᯲ᯉᯇᯪ᯲) merupakan salah satu marga Batak Toba yang berasal dari Simanindo, Samosir. Dalam masyarakat Batak Simalungun, marga Turnip merupakan bagian dari marga Saragih."""
"""348""","""Turutan""","""https://id.wikipedia.org/wiki/Turutan""","""T""","""T""","""T""","""Y""","""T""","""Y""","""Bagian dari kelompok marga Si Onom Hudon, keturunan Tuan Nahoda Raja""","""Turutan (Surat Batak: ᯖᯮᯒᯮᯖᯉ᯲) merupakan salah satu marga BatakDairi Kalasan yang termasuk ke dalam kelompok marga Si Onom Hudon atau (bahasa Indonesia: Si enam periuk). Marga Turutan berasal dari Sionom Hudon Toruan, Parlilitan, Humbang Hasundutan. Namun, hingga saat ini, sangat jarang ditemukan keturunan marga Turutan yang menggunakan marga Turutan.[1] [butuh klarifikasi]"""
"""349""","""Ujung""","""https://id.wikipedia.org/wiki/Ujung_(marga)""","""T""","""Y""","""T""","""Y""","""T""","""T""","""Dalam subetnis Karo adalah submarga Karo-karo""","""Ujung (Surat Batak: ᯥᯐᯮᯰ ) adalah salah satu marga Batak Pakpak yang awalnya berasal dari Kuta Sicikecike. Karena perkampungan di Kuta Sicikecike berubah menjadi danau, maka marga Ujung bersama dengan marga Angkat dan marga Bintang berpindah sampai ke wilayah baru, yang sekarang merupakan persimpangan jalan antara Pasar Lama dengan Kalang Simbara di Sidikalang."""
"""350""","""Ujungsaribu""","""https://id.wikipedia.org/w/index.php?title=Ujungsaribu&action=edit&redlink=1""","""T""","""T""","""T""","""Y""","""T""","""T""","""""","""Failed to fetch page"""
"""351""","""Usang""","""https://id.wikipedia.org/w/index.php?title=Usang&action=edit&redlink=1""","""T""","""T""","""T""","""T""","""Y""","""T""","""Submarga Damanik""","""Failed to fetch page"""
